WL,K_CHL
473.6420147,1.782156185
474.2338114,1.775954053
475.5788038,1.776059174
477.327294,1.772625225
477.865291,1.764776199
479.4792819,1.764776199
480.4476765,1.74986305
480.5552759,1.76365491
482.1692668,1.747956858
483.1376613,1.733043708
483.2452607,1.746835568
484.8784658,1.728334292
485.9928882,1.71680103
486.2042441,1.704366731
487.5044035,1.696097221
488.8045628,1.684183521
489.7012245,1.674091916
489.970223,1.663159344
490.015056,1.652507095
491.3152154,1.645078552
491.5842139,1.634426302
492.5257086,1.624895342
492.7947071,1.609968177
493.7169876,1.595221218
494.2165562,1.582246298
495.4078353,1.569992206
495.2694932,1.554758688
495.8881897,1.54500347
496.8681128,1.53262924
497.5213948,1.520735563
498.3988423,1.509122208
498.5781746,1.496367541
499.7118111,1.484213564
499.6541685,1.4701574
499.7886678,1.459897602
500.7109483,1.448772809
501.0738828,1.431472915
502.3441534,1.420540343
502.3441534,1.410448738
502.3441534,1.400357133
502.2634539,1.389088174
502.8821504,1.380314085
503.70836,1.368400384
504.0478105,1.354131976
504.7651398,1.344292661
505.0917808,1.328754794
505.0789714,1.31443833
506.3791307,1.307009788
506.2984312,1.295740829
506.7826285,1.285144644
507.4820245,1.275725813
507.7241232,1.265381918
507.7433374,1.253908724
509.0691156,1.246460158
509.0691156,1.236368554
509.0691156,1.226276949
508.9794495,1.21450341
509.8761111,1.206654384
510.4948076,1.19583394
510.6831066,1.18366795
511.816743,1.171373812
511.678401,1.156308488
512.2970975,1.145964593
513.104093,1.135872988
513.6757147,1.122732877
514.7757264,1.110824183
514.6373843,1.095590665
515.2560809,1.087096898
516.3320748,1.074797754
517.4657113,1.060366159
517.6770673,1.046029672
518.618562,1.037563937
518.9772266,1.023790765
520.3670521,1.013007698
521.6672115,0.997533904
522.8328716,0.983050582
524.2077528,0.973519622
525.3883573,0.965436994
526.2658047,0.955245274
527.8990098,0.952121682
528.7252195,0.944793255
530.3199962,0.939717418
531.9339871,0.935442502
533.4134788,0.929205329
535.161969,0.927313153
536.7951741,0.924610045
537.9326534,0.918819386
539.4659448,0.91862316
540.8109373,0.912428036
542.4249282,0.910493812
544.0389191,0.910353651
545.6529101,0.910353651
547.266901,0.91021349
548.8808919,0.910493812
550.3872835,0.914446357
552.1088738,0.921987029
553.857364,0.929135249
555.3735373,0.936984275
557.0119826,0.946922977
558.5648375,0.955821937
560.0443292,0.966334026
561.5238209,0.980714563
